"transcriptID","geneID","feature","id","fc","pval","qval"
"gene-PA2878",".","transcript","2943",0.000258519243628631,0.0194204300525822,0.947188505654787
"gene-PA2705",".","transcript","2760",0.0249106993619601,0.0198557861488942,0.947188505654787
"MSTRG.1689.1",".","transcript","2044",1.72700623628726e-06,0.0200289280664268,0.947188505654787
"gene-PA3574","nalD","transcript","3666",1.19103457739896e-05,0.0200412032059121,0.947188505654787
"gene-PA4391",".","transcript","4509",23.1329339465705,0.0204334885475421,0.947188505654787
"gene-PA1388",".","transcript","1418",0.109899730612395,0.0211292281661898,0.947188505654787
"gene-PA0316","serA","transcript","321",7.91405139026403,0.021170104521173,0.947188505654787
"gene-PA1764",".","transcript","1801",0.0175068109538233,0.0211911100848978,0.947188505654787
"gene-PA2272","pbpC","transcript","2319",284.640645545269,0.0214288060073731,0.947188505654787
"gene-PA3171","ubiG","transcript","3249",443.291937762643,0.021737146572369,0.947188505654787
"gene-PA0041a",".","transcript","43",7.9313289742271,0.0217720346743027,0.947188505654787
"gene-PA1645",".","transcript","1682",1.60993982921141,0.0219657988390618,0.947188505654787
"gene-PA4942","hflK","transcript","5097",7.40488660911396e-21,0.0226654783327864,0.947188505654787
"gene-PA3278",".","transcript","3357",355655340055.052,0.0228188030513181,0.947188505654787
"gene-PA5474",".","transcript","5643",3816090.28776102,0.0231405374983912,0.947188505654787
"gene-PA1721","pscH","transcript","1758",71643.3986956617,0.0231634948164425,0.947188505654787
"gene-PA4185",".","transcript","4285",5.22149432348526,0.0234308899922364,0.947188505654787
"gene-PA4434",".","transcript","4554",2804.67939624354,0.0236249490388061,0.947188505654787
"gene-PA2250","lpdV","transcript","2297",3.66157832174882e-12,0.0239449456599354,0.947188505654787
"rna-PA4280.5",".","transcript","4392",0.00177813215650699,0.0243506683805804,0.947188505654787
"gene-PA3384","phnC","transcript","3468",0.0419209481286196,0.0248665541359187,0.947188505654787
"gene-PA2142",".","transcript","2187",41770723.0245045,0.0249199043915778,0.947188505654787
"gene-PA1024",".","transcript","1049",0.00987763625538455,0.0257503584341157,0.947188505654787
"gene-PA4209","phzM","transcript","4309",4.71508646082466e-05,0.0262219449934227,0.947188505654787
"gene-PA0416","chpD","transcript","421",0.0448539955681636,0.0265189840578871,0.947188505654787
"gene-PA5079",".","transcript","5236",24.3954469744375,0.0266838399862288,0.947188505654787
"gene-PA5112","estA","transcript","5268",5.75453097782484e-06,0.0271531627763515,0.947188505654787
"gene-PA2292",".","transcript","2341",2569673.29787877,0.027667534411569,0.947188505654787
"gene-PA1987","pqqC","transcript","2032",2.5649310036863e-05,0.0276812625677424,0.947188505654787
"gene-PA3631",".","transcript","3726",1894.4498056368,0.0276970874216684,0.947188505654787
"gene-PA4150",".","transcript","4250",700815.557675077,0.0277739703056266,0.947188505654787
"rna-PA3305.1","phrS","transcript","3387",112755644.196431,0.0280506685500137,0.947188505654787
"gene-PA0465","creD","transcript","471",0.000869329224705624,0.0282548515687207,0.947188505654787
"gene-PA1585","sucA","transcript","1621",39.4875674892911,0.0283718478459467,0.947188505654787
"gene-PA2249","bkdB","transcript","2296",4.57309844481185e-11,0.0284703603306861,0.947188505654787
"gene-PA3290",".","transcript","3369",0.0113380066378415,0.0288145874865591,0.947188505654787
"gene-PA2392","pvdP","transcript","2441",1362540.84384861,0.0289626142138292,0.947188505654787
"rna-PA4280.2",".","transcript","4389",3.50637670904057e-05,0.0289806683000802,0.947188505654787
"gene-PA3913",".","transcript","4011",34474503525.5399,0.0297124035127598,0.947188505654787
"gene-PA5250",".","transcript","5411",2.62660744858614,0.0297627797866131,0.947188505654787
"gene-PA0478",".","transcript","484",1142.22542129134,0.0297635514107791,0.947188505654787
"gene-PA4397","panE","transcript","4515",0.00370119372650077,0.0299271852421215,0.947188505654787
"gene-PA4440",".","transcript","4560",1264.79652253608,0.0299391624854859,0.947188505654787
"gene-PA0987",".","transcript","1011",1.88378096271197,0.030056353799961,0.947188505654787
"gene-PA0776",".","transcript","790",0.000207211175254437,0.0300719442475397,0.947188505654787
"gene-PA2375",".","transcript","2424",3.95949481258963e-07,0.0305473781638433,0.947188505654787
"gene-PA2788",".","transcript","2850",30.6407588251601,0.0309067450526285,0.947188505654787
"gene-PA1498","pykF","transcript","1530",0.000178982739965385,0.0310577061088267,0.947188505654787
"gene-PA4732","pgi","transcript","4882",20.4391983946996,0.0313505894403103,0.947188505654787
"gene-PA2036",".","transcript","2082",1.24742578768729e-05,0.03142346474858,0.947188505654787
"gene-PA3188",".","transcript","3266",1.44808734628647e-10,0.0316341866153007,0.947188505654787
"gene-PA0545",".","transcript","552",829717656.256683,0.0321897681399174,0.947188505654787
"gene-PA1609","fabB","transcript","1645",1145.26917433998,0.0323360292475856,0.947188505654787
"gene-PA1459",".","transcript","1490",54.6702652672837,0.0327282429353619,0.947188505654787
"gene-PA4306","flp","transcript","4421",0.000617673218079798,0.0327561011941028,0.947188505654787
"gene-PA4419","ftsL","transcript","4538",2.36086033799578,0.032920155115157,0.947188505654787
"gene-PA0203",".","transcript","207",14263.0219712488,0.0329668292424052,0.947188505654787
"gene-PA3256",".","transcript","3333",361.490852405183,0.0337021996319481,0.947188505654787
"gene-PA0543",".","transcript","550",0.0126040142281598,0.0340949082751341,0.947188505654787
"gene-PA0368",".","transcript","374",0.00312266305209641,0.0342430180884987,0.947188505654787
"gene-PA1542",".","transcript","1575",0.000939548178700957,0.0346438535936335,0.947188505654787
"gene-PA2596",".","transcript","2651",5.56851807392614e-07,0.0348101467640414,0.947188505654787
"rna-PA1112.1",".","transcript","1140",16.3350593899849,0.035011146044894,0.947188505654787
"gene-PA1724","pscK","transcript","1761",2511418.49336241,0.0351104665139106,0.947188505654787
"gene-PA2321",".","transcript","2371",0.000226308671596501,0.0353774221292146,0.947188505654787
"gene-PA4501","opdP","transcript","4622",4.42066027687762e-13,0.0356265506692957,0.947188505654787
"gene-PA0081","fha1","transcript","84",2075.25236186335,0.0359711731945955,0.947188505654787
"gene-PA2606",".","transcript","2662",4.25566798088953,0.0360449107355983,0.947188505654787
"gene-PA2193","hcnA","transcript","2239",853174541.418953,0.036173255578188,0.947188505654787
"gene-PA0211","mdcD","transcript","215",1.26039876140123e-06,0.0363382895969817,0.947188505654787
"gene-PA1647",".","transcript","1684",128.393364231865,0.0365680152099019,0.947188505654787
"gene-PA0557",".","transcript","564",0.000155791623020965,0.0366059903334004,0.947188505654787
"gene-PA5246",".","transcript","5407",262.032406708317,0.0366545942560933,0.947188505654787
"gene-PA2231","pslA","transcript","2279",0.00945109899324899,0.0369548334034915,0.947188505654787
"gene-PA2097",".","transcript","2142",5.14605624374273e-05,0.0370120338236194,0.947188505654787
"gene-PA4374",".","transcript","4492",486.635396781079,0.0372547961031258,0.947188505654787
"gene-PA5122",".","transcript","5278",178.833181140939,0.0373684483496158,0.947188505654787
"gene-PA2297",".","transcript","2346",1.1846882897577e-10,0.0377049531101481,0.947188505654787
"gene-PA0992","cupC1","transcript","1015",0.0329149673592753,0.0382671353174517,0.947188505654787
"gene-PA0976",".","transcript","1000",0.00196976560740991,0.0383084603693218,0.947188505654787
"gene-PA2050",".","transcript","2095",341.50064079998,0.0383648117049881,0.947188505654787
"gene-PA2225",".","transcript","2273",0.00263460084636345,0.0387843230418549,0.947188505654787
"gene-PA3393","nosD","transcript","3477",21714.7808792401,0.0395003699023965,0.947188505654787
"gene-PA1910","femA","transcript","1957",61.4867988451333,0.0396408984583012,0.947188505654787
"gene-PA1741",".","transcript","1778",37176.869071854,0.0398114295323793,0.947188505654787
"gene-PA2223",".","transcript","2271",0.000160545221409702,0.0398411902083032,0.947188505654787
"gene-PA3338",".","transcript","3420",2842.99049169654,0.0400950139321787,0.947188505654787
"gene-PA5507",".","transcript","5675",1181787.19929198,0.0402046880974076,0.947188505654787
"gene-PA5389","cdhR","transcript","5557",0.018843473472948,0.0403302231700704,0.947188505654787
"gene-PA0709",".","transcript","722",24.5837294967782,0.0403628725111558,0.947188505654787
"gene-PA5268","corA","transcript","5430",370.718771244451,0.0405665517732875,0.947188505654787
"gene-PA3748",".","transcript","3844",99.6717272412322,0.0407218238450818,0.947188505654787
"gene-PA0809",".","transcript","824",16636.4402297653,0.0407432563292393,0.947188505654787
"gene-PA0463","creB","transcript","469",2479.4608385112,0.0410468852245598,0.947188505654787
"gene-PA0719",".","transcript","732",0.00917564133587194,0.0412593047399851,0.947188505654787
"gene-PA4687","hitA","transcript","4825",3.16743463088954e-06,0.0413650199875795,0.947188505654787
"gene-PA3237",".","transcript","3314",0.109492161112357,0.0416121826201941,0.947188505654787
"gene-PA2327",".","transcript","2377",5.26131894111647e-06,0.0420360910091095,0.947188505654787
"gene-PA4838",".","transcript","4992",19790.6856264908,0.0423383578170329,0.947188505654787
"gene-PA1074","braC","transcript","1100",1.47740253614177e-05,0.0423693893525767,0.947188505654787
"gene-PA2284",".","transcript","2331",11987.924815169,0.0424281275169813,0.947188505654787
"gene-PA2523",".","transcript","2574",284.531443483926,0.0426500241598273,0.947188505654787
"gene-PA3044",".","transcript","3113",0.0419589837932115,0.0436052509756759,0.947188505654787
"gene-PA3311",".","transcript","3393",0.000281094355659958,0.0436364706247552,0.947188505654787
"gene-PA2254","pvcA","transcript","2301",391.412014833548,0.0436747751327187,0.947188505654787
"rna-PA5369.2",".","transcript","5534",4.96463799582143e-05,0.0439796597570234,0.947188505654787
"gene-PA2662",".","transcript","2718",7861157.98762971,0.0439834153690752,0.947188505654787
"gene-PA3302",".","transcript","3381",13443211654240384,0.0441335213130024,0.947188505654787
"gene-PA5043","pilN","transcript","5200",186208.241326346,0.044269119867077,0.947188505654787
"gene-PA4791",".","transcript","4944",941.244450052196,0.0449371505607801,0.947188505654787
"gene-PA2775",".","transcript","2836",5.43313900031807,0.0452324855061914,0.947188505654787
"gene-PA0230","pcaB","transcript","234",17.2186133531444,0.0452800042344726,0.947188505654787
"gene-PA0872","phhA","transcript","889",1522.54697459713,0.045670888015958,0.947188505654787
"gene-PA5429","aspA","transcript","5597",1282940.07998086,0.0457532723296625,0.947188505654787
"gene-PA0952",".","transcript","976",55089831.9830308,0.0458181006114616,0.947188505654787
"gene-PA2683",".","transcript","2738",0.00131819845049783,0.0459072431062232,0.947188505654787
"gene-PA0268",".","transcript","272",21.9272352276489,0.0464550177717584,0.947188505654787
"gene-PA2493","mexE","transcript","2544",300.471594288544,0.0465121514590345,0.947188505654787
"gene-PA2715",".","transcript","2770",0.000120823132621913,0.0466406277068605,0.947188505654787
"gene-PA4473",".","transcript","4594",0.033086283891187,0.0468001208065251,0.947188505654787
"gene-PA3847",".","transcript","3943",11.7001186506854,0.0468209757943401,0.947188505654787
"gene-PA2333",".","transcript","2383",49.446450662946,0.0474352149435006,0.947188505654787
"gene-PA3122",".","transcript","3197",0.0143894963753593,0.0479086398603867,0.947188505654787
